title,location,price,bedrooms,bathrooms,toilets,property_type,url
Brandnew 4 Bedroom Flat Available,"Banana Island, Ikoyi, Lagos","₦1,200,000,000 per annum",4,5,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2986354-brandnew-4-bedroom-flat-available
3 Bedroom Flat With Bq,"Banana Island, Ikoyi, Lagos","₦65,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3278389-3-bedroom-flat-with-bq
4 Bedrooms Penthouse Maisonette + Bq,"Banana Island, Ikoyi, Lagos","₦55,000,000 per annum",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3145352-4-bedrooms-penthouse-maisonette-bq
Luxury 5 Bedroom Detached House,"Banana Island, Ikoyi, Lagos","$150,000 per annum 
approx. ₦213,159,057",5,5,6,5 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/2853532-luxury-5-bedroom-detached-house
"5 Bedroom Terrace Duplex With 2 Rooms' Bq, Swimming Pool & Elevator","Banana Island, Ikoyi, Lagos","$100,000 per annum 
approx. ₦142,106,038",5,5,6,5 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3278646-5-bedroom-terrace-duplex-with-2-rooms-bq-swimming-pool-elevator
5 Bedroom Detached Duplex With Pool And Other Amenities,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,0,0,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/banana-island/3269953-5-bedroom-detached-duplex-with-pool-and-other-amenities
5 Units Of 4 Bedroom Terrace Duplex With Boy's Quarters,"Banana Island, Ikoyi, Lagos","₦75,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3257235-5-units-of-4-bedroom-terrace-duplex-with-boys-quarters
3 Bedroom Terrace With Boys' Quarters,"Banana Island, Ikoyi, Lagos","₦55,000,000 per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3092035-3-bedroom-terrace-with-boys-quarters
Executive 4 Bedrooms Terraced Duplex With Bq,"Banana Island, Ikoyi, Lagos","₦30,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3278002-executive-4-bedrooms-terraced-duplex-with-bq
Furnished 4 Bedrooms Terraced Duplex With Swimming Pool,"Ikoyi, Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3278012-furnished-4-bedrooms-terraced-duplex-with-swimming-pool
4-bedroom Maisonette Waterfront + Bq,"Banana Island, Ikoyi, Lagos","₦70,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3278600-4-bedroom-maisonette-waterfront-bq
