title,location,price,bedrooms,bathrooms,toilets,property_type,url
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3155756-2-bedroom-apartment
1 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦7,000,000per annum",1,1,1,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3150793-fully-furnished-one-bedroom-studio-apartmemt
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3150780-brand-new-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ilasan, Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3150021-fully-furnished-2-bedroom-apartment-a-room-bq-in-ilasan-ikate
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3145365-4-bedroom-terrace-duplex-with-a-bq
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3145206-4-bedroom-terrace-duplex-with-a-bq
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3139340-brand-new-4-bedroom-terrace-duplex
4 bedroom terraced duplex for rent,"Salem, Ikate, Lekki, Lagos","₦25,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3137451-luxury-fully-furnished-4-bedroom-terrace-duplex
5 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦20,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3149449-well-furnished-5-bedroom-semi-detached-duplex-with-a-room-bq
1 bedroom mini flat (room and parlour) for rent,"Ikate, Lekki, Lagos","₦6,000,000per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/3143888-luxury-1-bedroom-funished-apartment-with-excellent-facilities
1 bedroom mini flat (room and parlour) for rent,"Freedom Way, Ikate, Lekki, Lagos","₦10,000,000per annum",1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/3143020-spacious-one-bedroom
